"ISO.Code","IMFcode","Country.Name","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"IRL",178,"Ireland",0.409424464501712,-0.00173556634894715,0.388187258916702,0.21507846342398,0.971470543015076,0.178516973236171,0.00576279037383405,0.0597100221066406,0.179211409477716,0.0674492700227712,0.0218205927416699,0.763286615207985,7.96775978528785e-11,0.230085660961002,0,2,0,3,0,3
"MLT",181,"Malta",0.223353085159572,0.0312896156915829,0.0620098653714007,-0.00894128824710121,0.917260184212194,0.101919640351482,0.00437676337220067,0.052641016647476,0.100414505118045,0.056234135192189,0.028418329705802,8.73967564984923e-13,0.238806089921983,0.929047107816403,0,2,3,0,0,3
"PRT",182,"Portugal",0.698897244551845,0.00472329248427387,0.406845311133652,-0.317814107126243,0.690937605911999,0.152280966786757,0.00422558718866946,0.104429972026946,0.213272931859703,0.0811504699881653,4.44256623177708e-06,0.263659384577969,9.78479616744465e-05,0.136178085139571,0,3,0,3,0,3
"ESP",184,"Spain",0.952645588285382,-0.014056350549033,0.559142231098322,-0.0986688257445922,0.420108977865116,0.155147380711737,0.00513386281643989,0.111286156968882,0.184418525814652,0.200658346339163,8.23854096054788e-10,0.00618201479675973,5.0510191695885e-07,0.592631430356828,0.0362908896671783,3,3,3,0,2
"TUR",186,"Turkey",0.249036487184294,0.0332480086975926,0.18977575247389,-0.0211922435456664,1.07370254873543,0.185000099061549,0.00671737751598344,0.0562744007868432,0.177648770328316,0.0637362608646652,0.17825657971638,7.43845379291841e-07,0.00074535553005961,0.90504327909499,0,0,3,3,0,3
"AUS",193,"Australia",0.255035548102195,-0.00519920473721493,0.479746435337579,0.134126747721476,0.892709489060958,0.0714910471246944,0.00473230872539532,0.0891443303112363,0.0741016722891085,0.0810980366860435,0.000360571944101107,0.27191580289932,7.37930536676146e-08,0.0702900932574766,0,3,0,3,1,3
"NZL",196,"New Zealand",0.455800128400764,-0.00408491297145006,0.298606348578947,0.0393020864614876,0.941853002542069,0.118418442841874,0.00642652840310494,0.0664630734868688,0.125392547282963,0.079211551459909,0.00011857017874628,0.525015711824278,7.0287567379701e-06,0.753952175263246,0,3,0,3,0,3
"ZAF",199,"South Africa",0.653199555886757,-0.00881830452319884,0.265300331499041,0.107372395722201,0.646476662722892,0.14728660825394,0.00685884952275149,0.0846904215695183,0.159852544313053,0.071934976268072,9.21203296688766e-06,0.19855380349848,0.00173271548405363,0.501776925253049,0,3,0,3,0,3
"ARG",213,"Argentina",-0.052530307833516,0.0167068306600998,0.0559329014844705,0.208694252447767,1.23209391221372,0.106661831162049,0.00456990592793645,0.0249672724903425,0.0950394356634443,0.0329580845895045,0.622370189263322,0.000256344319025992,0.0250747770963957,0.028101244390647,0,0,3,2,2,3
"BOL",218,"Bolivia",0.112266582187158,0.0212104128107614,0.215869681240481,0.0252194338547351,0.835888570470493,0.0952908705695397,0.00514070371492056,0.0804385723872478,0.098939326535649,0.090748754363706,0.238738304935979,3.69168058855784e-05,0.00728213864086236,0.798801901329409,0,0,3,3,0,3
